pipeline_weight,query_id,retrieved_document_ids,binary_at_k,rank_score
0.0,32942903_0,"['32942903_0', '24289983_0', '38131856_0', '28181248_0', '23682867_0', '26070109_0', '31866838_0', '29503543_1', '38131856_1', '32668177_1', '26070109_1', '32352985_0', '38132839_1', '37307647_0', '26637947_0', '37257484_0', '38132839_0', '30811274_0']",1,1.0
0.0,34050339_0,"['34050339_0', '37693426_0', '28463240_1', '35087390_0', '34900593_1', '28463240_0', '31611774_0', '33820239_0', '37723170_0', '37725735_0', '37608987_1', '36817330_0', '37222619_0', '33826888_0', '30152837_0', '35527819_0', '36950108_0', '32670012_1']",1,1.0
0.0,36238668_1,"['37221364_0', '37221364_1', '31162418_0', '31162418_1', '28703620_0', '36966746_0', '36966746_1', '25583507_0', '33117678_0', '37107088_0', '36637549_1', '35875744_1', '36238668_1', '37121995_2', '33255994_1', '33203255_1', '33386098_0', '33797376_1', '35271075_1', '37831692_1']",0,0.07692307692307693
0.0,37177696_0,"['37177696_0', '36656144_2', '26403346_0', '35459053_0', '35459053_1', '24296432_0', '36048306_1', '34975356_0', '33203435_0', '36585431_0', '35885741_1', '37750614_0', '35271075_0', '25713631_0', '34750962_1', '29677974_0', '36945350_0', '36970487_0', '30654576_0']",1,1.0
0.0,32570213_0,"['32570213_0', '29620381_0', '29229271_0', '31212006_0', '32638970_0', '24664108_0', '29620381_1', '36335888_1', '26956573_0', '38098528_1', '36141869_1', '27124201_0', '37810159_1', '24219022_0', '33680164_0', '37901091_1', '37063526_0']",1,1.0
0.0,37482976_0,"['37482976_0', '30485276_0', '35997413_0', '37352436_0', '34608537_0', '34980112_1', '31900033_0', '34831775_0', '25340904_0', '33239471_0', '38153584_1', '30225394_0', '29468939_0', '36507004_0', '37189967_1', '35279812_1', '35281771_0', '35740447_0']",1,1.0
0.0,33849021_0,"['33849021_0', '35004312_0', '34119265_0', '35587827_0', '35326526_0', '33849021_1', '34926051_0', '33326049_0', '34926051_1', '34373059_0', '32522530_1', '36835908_1', '36182633_0', '35587827_1', '38020501_0', '33708925_0', '34586899_1', '34373429_0']",1,1.0
0.0,36852255_2,"['36852255_2', '36852255_1', '36852255_0', '32670710_0', '37489991_0', '34402248_0', '36241978_0', '36203468_0', '37139562_1', '33125515_0', '36203468_1', '31422141_1', '36566995_0', '31422141_0', '37329614_0', '36336026_0']",1,1.0
0.0,24371326_0,"['24371326_0', '30303059_0', '24034354_0', '32866680_0', '25838109_0', '35796024_0', '29643358_0', '35796024_1', '29045744_0', '30851597_0', '36910439_0', '28062262_0', '29143763_0', '26229474_0', '35915384_1', '25904723_1', '28180904_0', '29045744_1']",1,1.0
0.0,37175421_0,"['37175421_0', '36077809_0', '37759727_0', '37175421_1', '37160979_0', '37492179_0', '35954165_0', '37947797_0', '36714120_0', '35490641_0', '27818232_0', '33195338_0', '33299065_0', '35955720_0']",1,1.0
0.05,32942903_0,"['32942903_0', '24289983_0', '38131856_0', '28181248_0', '23682867_0', '26070109_0', '31866838_0', '29503543_1', '38131856_1', '32668177_1', '26637947_0', '30811274_0', '38132839_1', '37307647_0', '38132839_0', '26070109_1', '32352985_0', '37257484_0']",1,1.0
0.05,34050339_0,"['34050339_0', '37693426_0', '28463240_1', '31611774_0', '35087390_0', '34900593_1', '28463240_0', '33820239_0', '37723170_0', '37725735_0', '37608987_1', '36950108_0', '33826888_0', '30152837_0', '37222619_0', '35527819_0', '32670012_1', '36817330_0']",1,1.0
0.05,36238668_1,"['37221364_0', '37221364_1', '31162418_0', '31162418_1', '28703620_0', '36966746_0', '36966746_1', '25583507_0', '33117678_0', '37107088_0', '37831692_1', '36238668_1', '37121995_2', '36637549_1', '35875744_1', '33386098_0', '33797376_1', '33203255_1', '35271075_1', '33255994_1']",0,0.08333333333333333
0.05,37177696_0,"['37177696_0', '36656144_2', '26403346_0', '35459053_0', '35459053_1', '24296432_0', '36048306_1', '34975356_0', '33203435_0', '36585431_0', '35271075_0', '30654576_0', '34750962_1', '25713631_0', '36945350_0', '29677974_0', '37750614_0', '35885741_1', '36970487_0']",1,1.0
0.05,32570213_0,"['32570213_0', '29620381_0', '29229271_0', '29620381_1', '31212006_0', '32638970_0', '24664108_0', '36335888_1', '26956573_0', '38098528_1', '24219022_0', '36141869_1', '37063526_0', '37810159_1', '33680164_0', '27124201_0', '37901091_1']",1,1.0
0.05,37482976_0,"['37482976_0', '30485276_0', '35997413_0', '37352436_0', '34608537_0', '34980112_1', '31900033_0', '34831775_0', '25340904_0', '33239471_0', '35279812_1', '35281771_0', '38153584_1', '37189967_1', '30225394_0', '29468939_0', '35740447_0', '36507004_0']",1,1.0
0.05,33849021_0,"['33849021_0', '35587827_0', '35004312_0', '34119265_0', '35326526_0', '33849021_1', '34926051_0', '33326049_0', '34926051_1', '34373059_0', '34373429_0', '35587827_1', '38020501_0', '32522530_1', '36835908_1', '33708925_0', '36182633_0', '34586899_1']",1,1.0
0.05,36852255_2,"['36852255_2', '36852255_1', '36852255_0', '32670710_0', '36203468_0', '37489991_0', '34402248_0', '36241978_0', '37139562_1', '33125515_0', '36203468_1', '31422141_1', '36336026_0', '36566995_0', '37329614_0', '31422141_0']",1,1.0
0.05,24371326_0,"['24371326_0', '30303059_0', '24034354_0', '32866680_0', '25838109_0', '29045744_0', '35796024_0', '29643358_0', '35796024_1', '30851597_0', '26229474_0', '29045744_1', '29143763_0', '35915384_1', '28180904_0', '28062262_0', '25904723_1', '36910439_0']",1,1.0
0.05,37175421_0,"['37175421_0', '36077809_0', '37759727_0', '37492179_0', '35954165_0', '37175421_1', '37160979_0', '35490641_0', '37947797_0', '36714120_0', '27818232_0', '33195338_0', '35955720_0', '33299065_0']",1,1.0
0.1,32942903_0,"['32942903_0', '24289983_0', '38131856_0', '28181248_0', '23682867_0', '26070109_0', '31866838_0', '29503543_1', '38131856_1', '32668177_1', '26637947_0', '30811274_0', '38132839_1', '37307647_0', '38132839_0', '26070109_1', '32352985_0', '37257484_0']",1,1.0
0.1,34050339_0,"['34050339_0', '31611774_0', '37693426_0', '28463240_1', '35087390_0', '34900593_1', '28463240_0', '33820239_0', '37723170_0', '37725735_0', '37608987_1', '36950108_0', '33826888_0', '30152837_0', '37222619_0', '35527819_0', '32670012_1', '36817330_0']",1,1.0
0.1,36238668_1,"['37221364_0', '37221364_1', '31162418_0', '31162418_1', '28703620_0', '36966746_0', '36966746_1', '25583507_0', '33117678_0', '37107088_0', '37831692_1', '36238668_1', '37121995_2', '36637549_1', '35875744_1', '33386098_0', '33797376_1', '33203255_1', '35271075_1', '33255994_1']",0,0.08333333333333333
0.1,37177696_0,"['37177696_0', '36656144_2', '26403346_0', '35459053_0', '35459053_1', '24296432_0', '36048306_1', '34975356_0', '33203435_0', '36585431_0', '35271075_0', '30654576_0', '34750962_1', '25713631_0', '36945350_0', '29677974_0', '37750614_0', '35885741_1', '36970487_0']",1,1.0
0.1,32570213_0,"['32570213_0', '29620381_0', '29620381_1', '29229271_0', '31212006_0', '32638970_0', '24664108_0', '36335888_1', '26956573_0', '38098528_1', '24219022_0', '36141869_1', '37063526_0', '37810159_1', '33680164_0', '27124201_0', '37901091_1']",1,1.0
