pipeline_weight,query_id,retrieved_document_ids,binary_at_k,rank_score
0.0,32942903_0,"['26070109_1', '37307647_0', '26637947_0', '37307647_1', '32942903_0', '30811274_0', '37397318_1', '32352985_0', '37257484_0', '24289983_0']",0,0.2
0.0,34050339_0,"['34050339_0', '36950108_0', '30152837_0', '32670012_1', '37222619_0', '37396619_0', '37608987_1', '35527819_0', '33826888_0', '31611774_0']",1,1.0
0.0,36238668_1,"['36238668_1', '33386098_0', '35271075_1', '37121995_2', '37831692_1', '37399055_2', '33203255_1', '35875744_1', '36637549_1', '33797376_1']",1,1.0
0.0,37177696_0,"['37177696_0', '35271075_0', '30654576_0', '35885741_1', '37750614_0', '29677974_0', '37420680_1', '25713631_0', '34750962_1', '36945350_0']",1,1.0
0.0,32570213_0,"['27124201_0', '33680164_0', '36141869_1', '32570213_0', '37810159_1', '24219022_0', '29620381_0', '37063526_0', '29620381_1', '37435094_1']",0,0.25
0.0,37482976_0,"['29468939_0', '35740447_0', '35279812_1', '37397318_1', '35281771_0', '30225394_0', '37189967_1', '30485276_0', '37482976_0', '35838802_1']",0,0.1111111111111111
0.0,33849021_0,"['33849021_0', '36835908_1', '35587827_0', '33708925_0', '35587827_1', '34373429_0', '37405133_0', '34586899_1', '36182633_0', '32522530_1']",1,1.0
0.0,36852255_2,"['37395329_0', '37329614_0', '36336026_0', '36566995_0', '36852255_1', '36852255_0', '36852255_2', '31422141_1', '36203468_1', '36203468_0']",0,0.14285714285714285
0.0,24371326_0,"['37403365_1', '28062262_0', '25904723_1', '35915384_1', '29045744_0', '29045744_1', '29143763_0', '28180904_0', '26229474_0', '24371326_0']",0,0.1
0.0,37175421_0,"['37759727_0', '37492179_0', '36077809_0', '35954165_0', '37175421_0', '36077809_1', '37420843_0', '33195338_0', '27818232_0', '35490641_0']",0,0.2
0.05,32942903_0,"['32942903_0', '24289983_0', '26637947_0', '30811274_0', '37307647_0', '26070109_1', '32352985_0', '37257484_0', '37307647_1', '37397318_1']",1,1.0
0.05,34050339_0,"['34050339_0', '37608987_1', '31611774_0', '36950108_0', '33826888_0', '30152837_0', '37222619_0', '35527819_0', '32670012_1', '37396619_0']",1,1.0
0.05,36238668_1,"['37831692_1', '36238668_1', '37121995_2', '36637549_1', '35875744_1', '33386098_0', '33797376_1', '33203255_1', '35271075_1', '37399055_2']",1,0.5
0.05,37177696_0,"['35271075_0', '30654576_0', '34750962_1', '37177696_0', '25713631_0', '36945350_0', '29677974_0', '37750614_0', '35885741_1', '37420680_1']",0,0.25
0.05,32570213_0,"['32570213_0', '24219022_0', '36141869_1', '37063526_0', '37810159_1', '33680164_0', '29620381_1', '29620381_0', '27124201_0', '37435094_1']",1,1.0
0.05,37482976_0,"['37482976_0', '30485276_0', '35279812_1', '35838802_1', '35281771_0', '37189967_1', '30225394_0', '29468939_0', '35740447_0', '37397318_1']",1,1.0
0.05,33849021_0,"['33849021_0', '34373429_0', '35587827_1', '35587827_0', '32522530_1', '36835908_1', '33708925_0', '36182633_0', '34586899_1', '37405133_0']",1,1.0
0.05,36852255_2,"['36852255_2', '36852255_1', '36852255_0', '36203468_1', '36203468_0', '31422141_1', '36336026_0', '36566995_0', '37329614_0', '37395329_0']",1,1.0
0.05,24371326_0,"['24371326_0', '29045744_0', '26229474_0', '29045744_1', '29143763_0', '35915384_1', '28180904_0', '28062262_0', '25904723_1', '37403365_1']",1,1.0
0.05,37175421_0,"['27818232_0', '37175421_0', '36077809_0', '37759727_0', '37492179_0', '33195338_0', '35954165_0', '36077809_1', '35490641_0', '37420843_0']",1,0.5
0.1,32942903_0,"['32942903_0', '24289983_0', '26637947_0', '30811274_0', '37307647_0', '26070109_1', '32352985_0', '37257484_0', '37307647_1', '37397318_1']",1,1.0
0.1,34050339_0,"['34050339_0', '37608987_1', '31611774_0', '36950108_0', '33826888_0', '30152837_0', '37222619_0', '35527819_0', '32670012_1', '37396619_0']",1,1.0
0.1,36238668_1,"['37831692_1', '36238668_1', '37121995_2', '36637549_1', '35875744_1', '33386098_0', '33797376_1', '33203255_1', '35271075_1', '37399055_2']",1,0.5
0.1,37177696_0,"['35271075_0', '30654576_0', '34750962_1', '37177696_0', '25713631_0', '36945350_0', '29677974_0', '37750614_0', '35885741_1', '37420680_1']",0,0.25
